num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
12,9,0.009339270566072047,binary,auc,gbdt,0.6722179273461948,70,650,25,20,2019,2.435387030845037,0.39153699736460457,0.6318748154731038,0.5541190851737242,-1,20000,50,0.9695338647025861,0.9636910546070471,0.9624040065121789,0.005842810095538997,3489,0.2608457663914505
12,10,0.012928322024134579,binary,auc,gbdt,0.6743634159177357,100,625,20,20,2019,18.569105609184813,29.57916213064838,0.6147216248097834,0.5804126130748707,-1,20000,50,0.9583609504816202,0.9559095743031853,0.9542984898181973,0.0024513761784348276,1879,0.2620389021333962
13,8,0.00652751846375557,binary,auc,gbdt,0.6792982244969674,100,1000,25,20,2019,6.275136682222165,0.5764776739813411,0.7761784996553708,0.5149417246220651,-1,20000,50,0.9694217566570702,0.9638498617278805,0.9630960627404047,0.005571894929189747,5096,0.2607333361884596
16,8,0.006150370424933403,binary,auc,gbdt,0.6974863382236507,100,975,30,20,2019,7.115286196634981,16.83147364554727,0.7884611840686184,0.48039916361313223,-1,20000,50,0.9711328017110019,0.9643799278393727,0.9633991363488129,0.006752873871629261,6822,0.2608986923323953
13,7,0.00601820522907837,binary,auc,gbdt,0.35619997772896717,90,975,5,20,2019,11.686155639981234,0.32324625209401625,0.7626881546688578,0.4095517523854798,-1,20000,50,0.916902164747256,0.918148220317955,0.9166340582240033,-0.0012460555706989007,26,0.2721300439388006
7,10,0.0075840445908181165,binary,auc,gbdt,0.7446005684522559,100,775,15,20,2019,0.04317611435850499,30.191302576084688,0.8672674857784246,0.5015558588890777,-1,20000,50,0.9656863609274948,0.9617791936295345,0.9613734946074705,0.003907167297960368,6067,0.26085148084556364
18,12,0.009584094748262655,binary,auc,gbdt,0.8921966348069812,90,850,25,20,2019,37.91414950014748,48.76688453342423,0.7151968425372539,0.32837735512107136,-1,20000,50,0.9506890734256617,0.9487507724384121,0.9466059351298619,0.0019383009872495638,1961,0.26383255178172316
13,11,0.008415323356022882,binary,auc,gbdt,0.6149097991195869,100,900,35,20,2019,18.35736046878805,18.240531330747835,0.5643402134103236,0.6168669755097191,-1,20000,50,0.9268277723286349,0.9290658050351107,0.925259659033092,-0.002238032706475823,59,0.2693250776903028
3,8,0.012569059373142469,binary,auc,gbdt,0.3770915842187311,80,700,15,20,2019,4.219100467463235,3.415703592394505,0.88263460491753,0.5358463753000371,-1,20000,50,0.9487270746206453,0.9459249402507419,0.9456387470010725,0.0028021343699033974,6080,0.264827500163523
11,7,0.01350528102833733,binary,auc,gbdt,0.6242146361649265,90,575,30,20,2019,0.09874354008845287,3.3604425063411303,0.4327621514589219,0.7128414842363049,-1,20000,50,0.927350095817586,0.9299037898100749,0.9260872193366246,-0.002553693992488948,47,0.26917599284496024
20,9,0.010629519191786715,binary,auc,gbdt,0.7363606436786335,70,300,80,20,2019,5.209738438620396,16.564577817845713,0.5522798871657086,0.40767019476611277,-1,20000,50,0.968340734644097,0.962304621233695,0.9611419335738141,0.006036113410402,2401,0.2612646893092453
17,8,0.006999889175815366,binary,auc,gbdt,0.8950740738003078,90,850,20,20,2019,8.13460750177653,21.076914096364934,0.7170960434715611,0.2178214587800406,-1,20000,50,0.9664609501529883,0.9605327251564052,0.9594915971037012,0.005928224996583076,5096,0.26170908688794414
7,10,0.008984066303995,binary,auc,gbdt,0.7832360306369197,80,600,10,20,2019,20.379860421667374,45.032659642531826,0.5071459634793405,0.7283675305490881,-1,20000,50,0.953510261486977,0.9514242749474399,0.9500989934792213,0.002085986539537177,3440,0.263148914330706
14,12,0.006000433133497399,binary,auc,gbdt,0.43795120900526474,50,725,50,20,2019,13.46569448083144,27.178132930130595,0.9040606874613706,0.5940331051446862,-1,20000,50,0.9274610705681573,0.9299678163069854,0.9262841760913431,-0.0025067457388281422,200,0.2691455290490458
11,9,0.009673650813175162,binary,auc,gbdt,0.8583389128523122,100,200,40,20,2019,26.16007842775103,14.925541266598705,0.4167741434245209,0.993374591385052,-1,20000,50,0.9144778411684005,0.9186312220481043,0.9140664295319666,-0.00415338087970385,25,0.27278283573959705
8,7,0.008607073930901312,binary,auc,gbdt,0.9508270048781686,80,125,30,20,2019,2.64076039649839,5.609639520887574,0.8371753921468147,0.3411653631970316,-1,20000,50,0.9683698397549062,0.9632642982091423,0.9626384585733804,0.005105541545763925,4420,0.260767899853518
16,8,0.01078315535377847,binary,auc,gbdt,0.6363938604302356,70,1000,5,20,2019,8.084629272843282,8.595524578032478,0.7390534392397605,0.512784576918459,-1,20000,50,0.9320525288671386,0.9338662484215181,0.9306919878414829,-0.0018137195543794782,54,0.26787618633182686
