num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
12,8,0.008915979239506345,binary,auc,gbdt,0.715485104850963,70,625,25,20,2019,20.38354227637512,0.019180946804901566,0.7489208726673495,0.7147461727674691,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
17,3,0.012762963109265215,binary,auc,gbdt,0.3494691588487288,100,975,80,20,2019,27.672023780558668,30.47989069855538,0.5579436663672256,0.47016699869371914,-1,20000,50,1.0,1.0,1.0,0.0,3,0.25
20,2,0.006038901976957567,binary,auc,gbdt,0.42455048574143994,80,825,100,20,2019,35.69460463906395,43.94341306476922,0.40605531736272327,0.9911077395343366,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
13,8,0.009386803188261881,binary,auc,gbdt,0.6390631236811675,70,650,20,20,2019,0.17367811631555008,2.377273042345614,0.8370256164284435,0.7283025473835565,-1,20000,50,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,2,0.25
17,3,0.013081107559195154,binary,auc,gbdt,0.36840055277795314,90,1000,90,20,2019,28.37383918639065,30.095182266172223,0.5180203813409301,0.44980206103885056,-1,20000,50,1.0,1.0,1.0,0.0,3,0.25
21,4,0.007939259314947081,binary,auc,gbdt,0.1101647421069246,80,775,100,20,2019,6.994586326201761,27.77856369828587,0.44492250233872654,0.9670273308334318,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
13,8,0.00938215493156754,binary,auc,gbdt,0.6283144842404216,70,700,20,20,2019,0.09874354008845287,1.177721130076648,0.8409968395051535,0.7272108890572486,-1,20000,50,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,2,0.25
17,4,0.012332422837950458,binary,auc,gbdt,0.40141136955802,90,875,90,20,2019,3.579049246350857,21.639765990648108,0.501689998177592,0.4192820899793103,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
21,4,0.007866121451710584,binary,auc,gbdt,0.10495163379269104,80,775,70,20,2019,6.414850342960051,27.604398383542286,0.20209641941902415,0.9724822332960754,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
7,7,0.009616487385968766,binary,auc,gbdt,0.9252620986301221,70,700,5,20,2019,2.6609575651991912,2.5469251544627767,0.6405276349047903,0.8372875280082657,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
4,9,0.00729488498608972,binary,auc,gbdt,0.8386599963737167,60,225,60,20,2019,16.703882509042856,16.225396006869538,0.9496440942329516,0.6475290081382602,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
24,10,0.008711306208183452,binary,auc,gbdt,0.20050116765134474,100,850,75,20,2019,44.99836425411302,21.188463973912096,0.6067318950518255,0.511708201372394,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
23,12,0.005655740118537986,binary,auc,gbdt,0.2811184694440083,100,575,60,20,2019,41.80456184837301,15.114674207985585,0.690350678231843,0.38252479342915147,-1,20000,50,1.0,1.0,1.0,0.0,4,0.25
19,2,0.006533695316148036,binary,auc,gbdt,0.7562981198597241,50,900,85,20,2019,38.013835764360785,44.354053661009885,0.1689165474300429,0.29488147093923667,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
16,2,0.008551640188524902,binary,auc,gbdt,0.8946369413089755,40,925,50,20,2019,33.086028461288926,34.71450685325687,0.38385997732588956,0.5915746119065082,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
3,11,0.010568870057107967,binary,auc,gbdt,0.44467360602224404,60,275,30,20,2019,19.71149867691887,26.82832156738507,0.731815748257412,0.7690156740379861,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
2,9,0.0070719782319077565,binary,auc,gbdt,0.7521010799135749,90,600,35,20,2019,11.537032075128947,5.549999512418005,0.7698042570017227,0.6036555560893716,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
24,3,0.014097056437595925,binary,auc,gbdt,0.308530128616072,90,150,70,20,2019,46.25791441165917,32.2910472429358,0.5562058631954481,0.4932578881983439,-1,20000,50,0.9989100085174382,0.9990408033433591,0.99902259788557,-0.0001307948259209324,26,0.2502727018790066
18,5,0.013660265034096713,binary,auc,gbdt,0.19780396149959856,100,1000,55,20,2019,8.443593252632215,41.2009161365228,0.49310200699372964,0.32977942674853117,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
14,5,0.005895743970653087,binary,auc,gbdt,0.6061701122929168,50,950,95,20,2019,49.45420085223202,45.590898042011005,0.10932962709306862,0.18096040371162336,-1,20000,50,1.0,1.0,1.0,0.0,23,0.25
20,4,0.007509546341716279,binary,auc,gbdt,0.6756689675650684,10,525,10,20,2019,25.709020100960156,25.48627804277555,0.43190802578070664,0.3629594603495273,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
15,2,0.010862877918330656,binary,auc,gbdt,0.15580973035516632,40,750,40,20,2019,31.11271248456797,34.14294477656961,0.3642622399909989,0.6879386577433091,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
11,7,0.010182324787894558,binary,auc,gbdt,0.5579401864893756,80,625,20,20,2019,20.626004514811914,8.559149491012713,0.8746194340037964,0.7493975595683621,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
12,8,0.008967702698433846,binary,auc,gbdt,0.8571849520787447,70,550,40,20,2019,14.345892457981249,13.52272984079725,0.6908158633341891,0.8104282469422368,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
16,6,0.012179586547989256,binary,auc,gbdt,0.22529262641337225,90,950,60,20,2019,27.311821308358695,37.75146727614041,0.25754998033480375,0.21642137103336306,-1,20000,50,1.0,1.0,1.0,0.0,3,0.25
